year,trademark_class,trademark_filings,rank
2014,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,234,38
2014,"Class 2: Paints, varnishes, lacquers etc.",145,39
2014,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",121,40
2014,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",97,41
2014,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",70,42
2014,"Class 23: Yarns and threads, for textile use",36,43
2014,Class 15: Musical instruments,30,44
2014,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,29,45
2015,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",4690,1
2015,Class 35: Advertising; business management; business administration; office functions,3916,2
2015,Class 42: Scientific and technological services and research and design relating thereto etc.,2629,3
2015,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2437,4
2015,Class 41: Education; providing of training; entertainment; sporting and cultural activities,2435,5
2015,Class 5: Pharmaceutical and veterinary preparations etc.,2108,6
2015,"Class 25: Clothing, footwear, headgear",1802,7
2015,Class 43: Services for providing food and drink; temporary accommodation,1696,8
2015,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1611,9
2015,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,1489,10
2015,"Class 16: Paper, cardboard etc.",1335,11
2015,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1160,12
2015,Class 18: Leather and imitations of leather etc.,1005,13
2015,Class 14: Precious metals and their alloys etc.,981,14
2015,Class 38: Telecommunications,976,15
2015,Class 7: Machines and machine tools etc.,956,16
2015,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",933,17
2015,Class 37: Building construction; repair; installation services,895,18
2015,Class 39: Transport; packaging and storage of goods; travel arrangement,834,19
2015,Class 28: Games and playthings; gymnastic and sporting articles etc.,809,20
2015,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,783,21
2015,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,730,22
2015,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",708,23
2015,"Class 12: Vehicles; apparatus for locomotion by land, air or water",685,24
2015,Class 21: Household or kitchen utensils and containers  etc.,622,25
2015,"Class 20: Furniture, mirrors, picture frames etc.",593,26
2015,Class 1: Chemicals used in industry etc.,586,27
2015,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,580,28
2015,Class 33: Alcoholic beverages (except beers) etc.,572,29
2015,Class 6: Common metals and their alloys etc.,553,30
2015,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",352,31
2015,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",350,32
2015,"Class 4: Industrial oils and greases, lubricants etc.",340,33
2015,Class 40: Treatment of materials,338,34
2015,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",312,35
2015,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,302,36
2015,Class 34: Tobacco; smokers' articles; matches,293,37
2015,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,263,38
2015,"Class 2: Paints, varnishes, lacquers etc.",187,39
2015,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",109,40
2015,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",96,41
2015,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",51,42
2015,Class 15: Musical instruments,43,43
2015,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,38,44
2015,"Class 23: Yarns and threads, for textile use",33,45
2016,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",4215,1
2016,Class 35: Advertising; business management; business administration; office functions,3660,2
2016,Class 41: Education; providing of training; entertainment; sporting and cultural activities,2417,3
2016,Class 42: Scientific and technological services and research and design relating thereto etc.,2407,4
2016,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2285,5
2016,Class 5: Pharmaceutical and veterinary preparations etc.,1997,6
2016,Class 43: Services for providing food and drink; temporary accommodation,1667,7
2016,"Class 25: Clothing, footwear, headgear",1635,8
2016,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1624,9
2016,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,1492,10
2016,"Class 16: Paper, cardboard etc.",1228,11
2016,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1041,12
2016,Class 7: Machines and machine tools etc.,978,13
2016,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",914,14
2016,Class 18: Leather and imitations of leather etc.,895,15
2016,Class 38: Telecommunications,886,16
2016,Class 37: Building construction; repair; installation services,874,17
2016,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",840,18
2016,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,799,19
2016,"Class 12: Vehicles; apparatus for locomotion by land, air or water",770,20
2016,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,713,21
2016,Class 14: Precious metals and their alloys etc.,709,22
2016,Class 39: Transport; packaging and storage of goods; travel arrangement,697,23
2016,Class 28: Games and playthings; gymnastic and sporting articles etc.,660,24
2016,Class 21: Household or kitchen utensils and containers  etc.,607,25
2016,Class 1: Chemicals used in industry etc.,595,26
2016,Class 33: Alcoholic beverages (except beers) etc.,528,27
2016,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,489,28
2016,"Class 20: Furniture, mirrors, picture frames etc.",472,29
2016,Class 6: Common metals and their alloys etc.,471,30
2016,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",378,31
2016,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,351,32
2016,Class 40: Treatment of materials,328,33
2016,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",305,34
2016,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,260,35
2016,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",247,36
2016,"Class 4: Industrial oils and greases, lubricants etc.",245,37
2016,"Class 2: Paints, varnishes, lacquers etc.",195,38
2016,Class 34: Tobacco; smokers' articles; matches,182,39
2016,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",101,40
2016,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",91,41
2016,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",61,42
2016,Class 15: Musical instruments,35,43
2016,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,25,44
2016,"Class 23: Yarns and threads, for textile use",17,45
2017,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",5335,1
2017,Class 35: Advertising; business management; business administration; office functions,4563,2
2017,Class 42: Scientific and technological services and research and design relating thereto etc.,3151,3
2017,Class 41: Education; providing of training; entertainment; sporting and cultural activities,3043,4
2017,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2635,5
2017,Class 5: Pharmaceutical and veterinary preparations etc.,2179,6
2017,"Class 25: Clothing, footwear, headgear",1927,7
2017,Class 43: Services for providing food and drink; temporary accommodation,1841,8
2017,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1833,9
2017,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,1830,10
2017,"Class 16: Paper, cardboard etc.",1409,11
2017,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1270,12
2017,Class 38: Telecommunications,1133,13
2017,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",1070,14
2017,Class 7: Machines and machine tools etc.,1037,15
2017,Class 18: Leather and imitations of leather etc.,1031,16
2017,Class 37: Building construction; repair; installation services,1006,17
2017,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,969,18
2017,Class 28: Games and playthings; gymnastic and sporting articles etc.,916,19
2017,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,865,20
2017,Class 39: Transport; packaging and storage of goods; travel arrangement,865,20
2017,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",844,22
2017,Class 14: Precious metals and their alloys etc.,816,23
2017,"Class 12: Vehicles; apparatus for locomotion by land, air or water",808,24
2017,Class 21: Household or kitchen utensils and containers  etc.,741,25
2017,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,685,26
2017,Class 1: Chemicals used in industry etc.,680,27
2017,"Class 20: Furniture, mirrors, picture frames etc.",673,28
2017,Class 33: Alcoholic beverages (except beers) etc.,588,29
2017,Class 6: Common metals and their alloys etc.,534,30
2017,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",482,31
2017,Class 40: Treatment of materials,441,32
2017,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,424,33
2017,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",413,34
2017,"Class 4: Industrial oils and greases, lubricants etc.",343,35
2017,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",325,36
2017,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,282,37
2017,"Class 2: Paints, varnishes, lacquers etc.",254,38
2017,Class 34: Tobacco; smokers' articles; matches,248,39
2017,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",164,40
2017,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",147,41
2017,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",89,42
2017,Class 15: Musical instruments,79,43
2017,"Class 23: Yarns and threads, for textile use",38,44
2017,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,29,45
2018,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",5884,1
2018,Class 35: Advertising; business management; business administration; office functions,4928,2
2018,Class 42: Scientific and technological services and research and design relating thereto etc.,3768,3
2018,Class 41: Education; providing of training; entertainment; sporting and cultural activities,2908,4
2018,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2812,5
2018,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,2283,6
2018,Class 5: Pharmaceutical and veterinary preparations etc.,2173,7
2018,Class 43: Services for providing food and drink; temporary accommodation,1924,8
2018,"Class 25: Clothing, footwear, headgear",1849,9
2018,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1839,10
2018,"Class 16: Paper, cardboard etc.",1341,11
2018,Class 38: Telecommunications,1266,12
2018,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1232,13
2018,Class 7: Machines and machine tools etc.,1114,14
2018,Class 18: Leather and imitations of leather etc.,983,15
2018,Class 39: Transport; packaging and storage of goods; travel arrangement,961,16
2018,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",955,17
2018,Class 37: Building construction; repair; installation services,925,18
2018,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,916,19
2018,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",864,20
2018,Class 28: Games and playthings; gymnastic and sporting articles etc.,836,21
2018,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,787,22
2018,"Class 12: Vehicles; apparatus for locomotion by land, air or water",784,23
2018,Class 14: Precious metals and their alloys etc.,753,24
2018,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,740,25
2018,Class 21: Household or kitchen utensils and containers  etc.,726,26
2018,"Class 20: Furniture, mirrors, picture frames etc.",709,27
2018,Class 1: Chemicals used in industry etc.,696,28
