year,trademark_class,trademark_filings,rank
2022,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1725,9
2022,Class 43: Services for providing food and drink; temporary accommodation,1705,10
2022,Class 38: Telecommunications,1425,11
2022,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1290,12
2022,Class 28: Games and playthings; gymnastic and sporting articles etc.,1279,13
2022,"Class 16: Paper, cardboard etc.",1264,14
2022,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",1254,15
2022,Class 7: Machines and machine tools etc.,1191,16
2022,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,1190,17
2022,Class 37: Building construction; repair; installation services,1097,18
2022,Class 18: Leather and imitations of leather etc.,1013,19
2022,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",979,20
2022,Class 39: Transport; packaging and storage of goods; travel arrangement,952,21
2022,Class 1: Chemicals used in industry etc.,904,22
2022,Class 21: Household or kitchen utensils and containers  etc.,891,23
2022,"Class 12: Vehicles; apparatus for locomotion by land, air or water",882,24
2022,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,862,25
2022,Class 33: Alcoholic beverages (except beers) etc.,767,26
2022,Class 14: Precious metals and their alloys etc.,742,27
2022,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,729,28
2022,"Class 20: Furniture, mirrors, picture frames etc.",659,29
2022,Class 40: Treatment of materials,607,30
2022,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",475,31
2022,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",471,32
2022,Class 6: Common metals and their alloys etc.,447,33
2022,"Class 4: Industrial oils and greases, lubricants etc.",339,34
2022,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",332,35
2022,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,292,36
2022,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,279,37
2022,"Class 2: Paints, varnishes, lacquers etc.",215,38
2022,Class 34: Tobacco; smokers' articles; matches,206,39
2022,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",151,40
2022,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",146,41
2022,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",110,42
2022,Class 15: Musical instruments,64,43
2022,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,47,44
2022,"Class 23: Yarns and threads, for textile use",36,45
